Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,1651.67,1658.07,1647.65,1654.39,1654.39,173122000
2020-12-11,1660.76,1689.77,1660.49,1684.58,1684.58,295540900
2020-12-14,1682.46,1695.96,1662.45,1662.74,1662.74,361491200
2020-12-15,1661.54,1679.1,1655.88,1674.02,1674.02,226532100
2020-12-16,1694.33,1695.87,1679.39,1681.41,1681.41,191726100
2020-12-17,1684.27,1684.3,1669.69,1674.35,1674.35,149955400
2020-12-18,1676.84,1678.11,1644.8,1652.49,1652.49,217881000
2020-12-21,1651.86,1657.82,1641.92,1647.89,1647.89,120517100
2020-12-22,1646.8,1647.36,1625.39,1631.92,1631.92,170479700
2020-12-23,1631.55,1652.59,1627.53,1647.5,1647.5,115592000
2020-12-24,1649.08,1649.71,1636.98,1641.17,1641.17,70670800
2020-12-28,1642.23,1655.96,1639.92,1643.9,1643.9,97323000
2020-12-29,1644.37,1645.76,1630.83,1634.99,1634.99,132040100
2020-12-30,1635.6,1645.31,1631.77,1644.41,1644.41,122722900
2020-12-31,1644.26,1644.26,1627.21,1627.21,1627.21,122930600
2021-01-04,1629.01,1629.17,1593.12,1602.57,1602.57,519385300
2021-01-05,1603.07,1608.35,1589.81,1608.35,1608.35,214185500
2021-01-06,1610.78,1610.78,1586.25,1591.97,1591.97,177008600
2021-01-07,1589.53,1602.95,1572.62,1602.95,1602.95,344222000
2021-01-08,1601.95,1633.19,1595.12,1633.19,1633.19,419320700
2021-01-11,1627.22,1627.22,1607.53,1617.25,1617.25,312214300
2021-01-12,1615.84,1621.1,1590.71,1612.04,1612.04,294833700
2021-01-13,1617.68,1637.31,1617.68,1636.69,1636.69,215713300
2021-01-14,1638,1646.24,1632.2,1635.71,1635.71,211876200
2021-01-15,1637.27,1637.88,1626.25,1627.01,1627.01,135442000
2021-01-18,1625.35,1625.35,1608.64,1609.52,1609.52,108538700
2021-01-19,1611.06,1618.41,1601.88,1601.88,1601.88,137672400
2021-01-20,1606.55,1616.84,1601.54,1601.54,1601.54,163315800
2021-01-21,1608.43,1615.22,1594.31,1594.8,1594.8,147155800
2021-01-22,1596.06,1605.7,1595.02,1596.74,1596.74,218347800
2021-01-25,1600.54,1601.54,1575.88,1576.62,1576.62,273030500
2021-01-26,1590.59,1609.19,1575.31,1575.31,1575.31,342432600
2021-01-27,1585.06,1593.08,1580.37,1580.62,1580.62,247946400
2021-01-29,1597.16,1597.52,1560.54,1566.4,1566.4,478916100
2021-02-02,1575.03,1585.18,1571.3,1580.49,1580.49,315294100
2021-02-03,1584.02,1597.93,1582.54,1582.99,1582.99,278473600
2021-02-04,1582.1,1586.55,1576.33,1584.9,1584.9,187635200
2021-02-05,1587.7,1590.47,1574.69,1578.63,1578.63,137659000
2021-02-08,1580.44,1586.06,1572.77,1573.33,1573.33,184060700
2021-02-09,1574.67,1588.96,1574.23,1586.13,1586.13,196502000
2021-02-10,1586.94,1596.85,1586.87,1596.85,1596.85,165986600
2021-02-11,1602.19,1602.5,1594.52,1599.42,1599.42,69045700
2021-02-15,1607,1614.92,1607,1608.07,1608.07,114171800
2021-02-16,1612.04,1613.01,1605.4,1606.14,1606.14,198115800
2021-02-17,1609.51,1609.51,1593.8,1595.29,1595.29,194961500
2021-02-18,1599.31,1599.31,1575.84,1575.84,1575.84,192950300
2021-02-19,1580.18,1584.93,1573.84,1584.93,1584.93,186226900
2021-02-22,1587.51,1587.51,1570.46,1570.46,1570.46,179953300
2021-02-23,1573.67,1580.68,1565.05,1565.05,1565.05,235770800
2021-02-24,1571.01,1581.55,1557.55,1557.55,1557.55,414859700
2021-02-25,1566.9,1587.11,1565.77,1581.54,1581.54,349181300
2021-02-26,1580.97,1586.23,1563.56,1577.75,1577.75,399365000
2021-03-01,1578.7,1584.46,1563.18,1567.14,1567.14,291083800
2021-03-02,1572.03,1583.43,1568.67,1569.87,1569.87,311452100
2021-03-03,1576.9,1588.45,1568.65,1588.45,1588.45,321230300
2021-03-04,1588.89,1590.46,1577.39,1581.26,1581.26,246614300
2021-03-05,1582.68,1600.12,1579.74,1600.12,1600.12,232875700
2021-03-08,1607.48,1625.69,1607.48,1611.81,1611.81,257561700
2021-03-09,1615.99,1625.22,1612.29,1624.78,1624.78,218665000
2021-03-10,1629.03,1642.2,1628.82,1639.83,1639.83,229133700
2021-03-11,1636.73,1636.73,1626.23,1629.41,1629.41,185399900
2021-03-12,1630.59,1632.01,1615.69,1615.69,1615.69,166695300
2021-03-15,1619.62,1624.74,1619.21,1620.92,1620.92,151420400
2021-03-16,1623.8,1625.52,1617.92,1623.96,1623.96,154718200
2021-03-17,1625.61,1625.67,1616.91,1624.97,1624.97,201888500
2021-03-18,1626.18,1635.15,1626.18,1627.99,1627.99,174422500
2021-03-19,1631.04,1631.04,1615.16,1626.19,1626.19,323782900
2021-03-22,1628.47,1628.47,1616.73,1616.73,1616.73,153698000
2021-03-23,1616.78,1616.78,1595.29,1595.29,1595.29,164102600
2021-03-24,1591.66,1602.77,1585.44,1602.4,1602.4,124110000
2021-03-25,1607.86,1608.05,1594.33,1597.73,1597.73,110480800
2021-03-26,1598.74,1603.01,1593.24,1601.42,1601.42,98128000
2021-03-29,1603.59,1611.28,1597.83,1611.28,1611.28,118893300
2021-03-30,1606.15,1610.61,1601.08,1609.19,1609.19,195281600
2021-03-31,1608.96,1608.96,1564.06,1573.51,1573.51,282957300
2021-04-01,1579.97,1586.26,1576.33,1582.64,1582.64,129797600
2021-04-02,1586.51,1588.72,1582.65,1585.35,1585.35,71636100
2021-04-05,1584.89,1590.67,1582.2,1584.24,1584.24,62205300
2021-04-06,1588.27,1589.06,1575.18,1578.91,1578.91,110036800
2021-04-07,1584.38,1600.59,1580.9,1600.59,1600.59,135168300
2021-04-08,1599.81,1609.39,1596.64,1602.4,1602.4,270051300
2021-04-09,1614.95,1615.49,1605.37,1612.25,1612.25,286765100
2021-04-12,1613.96,1613.96,1603.32,1608.42,1608.42,148809600
2021-04-13,1608.71,1608.79,1594.89,1597.71,1597.71,118420400
2021-04-14,1600.19,1601.37,1592.87,1598.28,1598.28,102835400
2021-04-15,1599.81,1608.25,1597.78,1608.25,1608.25,271930500
2021-04-16,1607.44,1609.76,1600.3,1608.38,1608.38,247719600
2021-04-19,1608.11,1608.62,1596.05,1600.29,1600.29,184998100
2021-04-20,1600.43,1607.57,1591.83,1607.57,1607.57,146388800
2021-04-21,1604.87,1605.73,1596.58,1596.58,1596.58,141522500
2021-04-22,1599.89,1609.1,1598.19,1607.73,1607.73,176049300
2021-04-23,1607.28,1610.81,1605.44,1608.43,1608.43,153568100
2021-04-26,1610.74,1623.47,1609.44,1623.47,1623.47,214928700
2021-04-27,1623.21,1623.25,1603.82,1606.68,1606.68,191167600
2021-04-28,1606.52,1608.5,1597.79,1608.5,1608.5,140500200
2021-04-30,1615.21,1615.6,1600.05,1601.65,1601.65,218697900
2021-05-03,1602.09,1602.09,1588.89,1590.73,1590.73,130410800
2021-05-04,1591.67,1597.42,1587.87,1588.25,1588.25,121073200
2021-05-05,1591.98,1592.18,1575.38,1575.67,1575.67,129302100
2021-05-06,1572.09,1578.33,1556,1578.33,1578.33,249623100
2021-05-07,1578.67,1590.04,1573.4,1587.45,1587.45,135461200
2021-05-10,1587.48,1591.52,1580,1583.92,1583.92,120560600
2021-05-11,1579.31,1581.26,1571.96,1577.64,1577.64,113321700
2021-05-12,1576.29,1583.13,1572.99,1582.52,1582.52,125837600
2021-05-17,1583.46,1583.46,1583.46,1583.46,1583.46,
2021-05-18,1583.25,1591.32,1580.25,1591.32,1591.32,133726000
2021-05-19,1591.22,1591.32,1574.28,1580.52,1580.52,183977300
2021-05-20,1577.85,1585.32,1570.32,1575.32,1575.32,185675800
